Country,Capital,Latitude,Longitude
Switzerland,Bern,46.96839404,7.487384904
Iceland,Reykjavik,64.16171537,-21.96319835
Denmark,Copenhagen,55.70014004,12.55134749
Norway,Oslo,59.93197755,10.79921615
Canada,Ottawa,45.50948527,-75.73957655
Finland,Helsinki,60.18638508,25.01557596
Netherlands,Amsterdam,52.3981526,4.999018242
Sweden,Stockholm,59.35463009,18.16011943
New Zealand,Wellington,-41.27158826,174.8261756
Australia,Canberra,-35.30792132,149.1235767
Israel,Jerusalem ,31.7619442,35.12841901
Costa Rica,San José,9.972837668,-84.01512684
Austria,Vienna,48.25321497,16.45704382
Mexico,Mexico City,19.51234187,-99.04932214
United States,"Washington, D.C.",38.9427964,-76.94172862
Brazil,Brasilia,-15.73258066,-47.81383764
Luxembourg,Luxembourg,49.65016377,6.262769875
Ireland,Dublin,53.39923622,-6.238247468
Belgium,Brussels,50.87811789,4.419845053
United Arab Emirates,Abu Dhabi,24.62602662,54.48514348
United Kingdom,London,51.53426936,-0.033187161
Oman,Muscat,23.73941586,58.46714447
Venezuela,Caracas,10.4865979,-66.89671135
Singapore,Majulah Singapura,1.291270918,103.8556883
Panama,Panama City,9.051015852,-79.45043213
Germany,Berlin,52.55624792,13.4482734
Chile,Santiago,-33.40334034,-70.5746451
Qatar,Doha,25.39762206,51.53649771
France,Paris,48.88601145,2.397492938
Argentina,Buenos Aires,-34.5823501,-58.28849024
Czech Republic,Prague,50.10791726,14.55908492
Uruguay,Montevideo,-34.85039895,-56.09372254
Colombia,Bogotá,4.719369789,-74.09266274
Thailand,Bangkok,13.93322053,100.6120928
Saudi Arabia,Riyadh,24.86709545,46.75775371
Spain,Madrid,40.47756738,-3.607634987
Malta,Valletta,35.90535579,14.51483368
Taiwan,Taipei,25.1659162,121.5662631
Kuwait,Kuwait City,29.44198795,48.05754502
Suriname,Paramaribo,5.901656648,-55.11733114
Trinidad and Tobago,Port of Spain,10.66236309,-61.4919296
El Salvador,San Salvador,13.7187182,-89.10709879
Guatemala,Guatemala City,14.75178623,-90.31826886
Uzbekistan,Tashkent,41.29744442,69.26019477
Slovakia,Bratislava,48.15311701,17.33806528
Japan,Kyoto,35.28518982,135.5108483
South Korea,Seoul,37.56746763,127.029108
Ecuador,Quito,-0.132075616,-78.42138421
Bahrain,Manama,26.30054144,50.6546137
Italy,Rome,41.89602206,12.66446885
Bolivia,La Paz,-16.44710185,-68.07003052
Moldova,Chișinău,47.03147074,28.91196667
Paraguay,Asunción,-25.21520087,-57.47005675
Kazakhstan,Nur-Sultan,51.25927243,71.53776654
Slovenia,Bratislava,48.1507454,17.3138842
Lithuania,Vilnius,54.72522731,25.32510523
Nicaragua,Managua,12.10940054,-86.19936273
Peru,Lima,-11.99359292,-76.99181403
Belarus,Minsk,53.9908573,27.61103358
