Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Whisker.high,Whisker.low,Standard error of ladder score,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score
Finland,Western Europe,2019,1,7.808666289,10.63926697,0.954329729,0.949172199,0.195444584,-0.059482019,2.762835026,7.869766235,7.747633934,0.031156305,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,7.808700085
Denmark,Western Europe,2019,2,7.645564601,10.77400112,0.955990791,0.951444268,0.168489456,0.066201776,2.432740688,7.711244583,7.579955101,0.033492286,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,7.645599842
Switzerland,Western Europe,2019,3,7.559934377,10.97993279,0.942846596,0.921336651,0.303728431,0.105911039,2.35026741,7.628527641,7.491271973,0.035014171,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,7.559899807
Iceland,Western Europe,2019,4,7.504452363,10.77255917,0.974669576,0.948891878,0.711709738,0.246944219,2.460688114,7.621346951,7.387652874,0.059615862,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,7.504499912
Norway,Western Europe,2019,5,7.488004564,11.08780384,0.952486575,0.955750287,0.263218194,0.13453263,2.168266296,7.55628109,7.419718742,0.034837384,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,7.487999916
Netherlands,Western Europe,2019,6,7.448898494,10.81271172,0.93913883,0.908547819,0.364717126,0.20761244,2.352117062,7.503372192,7.394428253,0.02779175,1.972316742,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,7.448900223
Sweden,Western Europe,2019,7,7.353544622,10.75879383,0.926311195,0.939144194,0.250880182,0.111614622,2.246299267,7.424519062,7.282480717,0.036234196,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,7.353499889
New Zealand,North America and ANZ,2019,8,7.299567014,10.50094318,0.949118972,0.936217487,0.22113885,0.191598073,2.128108025,7.376952648,7.222247601,0.039465468,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,7.299600124
Austria,Western Europe,2019,9,7.294244855,10.7428236,0.928045869,0.899989486,0.499954879,0.085429221,2.398446083,7.359595776,7.228804111,0.033365164,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,7.294199944
Luxembourg,Western Europe,2019,10,7.237479939,11.45068073,0.906912208,0.90563643,0.367084295,-0.004620588,2.153700352,7.297969818,7.177030563,0.030851794,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,7.237500191
Canada,North America and ANZ,2019,11,7.232069522,10.69236851,0.927176654,0.933913231,0.390843362,0.124770768,2.195269108,7.311294556,7.152905464,0.04040546,1.972316742,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,7.23210001
Australia,North America and ANZ,2019,12,7.222801744,10.72059631,0.944854617,0.915431738,0.41516912,0.19046016,2.129804134,7.30480814,7.140791416,0.041841116,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,7.222799778
United Kingdom,Western Europe,2019,13,7.164531826,10.60013485,0.93668282,0.834743679,0.435915917,0.263732493,2.236721992,7.237337589,7.091662884,0.037161909,1.972316742,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,7.164500237
Israel,Middle East and North Africa,2019,14,7.128591529,10.41752529,0.913571239,0.747580588,0.78085506,0.10259372,2.713358402,7.211929798,7.045270443,0.042515181,1.972316742,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,7.128600121
Costa Rica,Latin America and Caribbean,2019,15,7.121377819,9.658156395,0.901545942,0.934738934,0.786332428,-0.10242971,2.953135014,7.209239483,7.033560276,0.044816118,1.972316742,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,7.121399879
Ireland,Western Europe,2019,16,7.093672276,11.16097832,0.942081571,0.886982977,0.357184172,0.145784974,1.943878174,7.171832085,7.01556778,0.039863452,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,7.093699932
Germany,Western Europe,2019,17,7.075766681,10.7328186,0.898874462,0.867371082,0.456422031,0.080179386,2.295249462,7.145595074,7.00600481,0.035609804,1.972316742,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,7.075799942
United States,North America and ANZ,2019,18,6.939552396,10.92576885,0.914219022,0.842619538,0.699715316,0.149891734,2.344124794,7.032339573,6.846860409,0.047316168,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,6.939599991
Czech Republic,Central and Eastern Europe,2019,19,6.910855445,10.40416336,0.914430678,0.818537354,0.85844624,-0.230861515,2.796808243,6.994966984,6.826833248,0.042891297,1.972316742,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,6.910900116
Belgium,Western Europe,2019,20,6.86354375,10.6736393,0.911632538,0.813582063,0.612297952,-0.078691199,2.348626614,6.930866241,6.796133995,0.034370355,1.972316742,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,6.863500118
United Arab Emirates,Middle East and North Africa,2019,21,6.790843412,11.1099987,0.849181116,0.941345513,0.594502211,0.123450845,2.166965961,6.870568752,6.711031437,0.040698379,1.972316742,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,6.790800095
Malta,Western Europe,2019,22,6.772808238,10.53383827,0.93037951,0.924911439,0.658547282,0.214965805,1.952012062,6.856997967,6.688601971,0.042958103,1.972316742,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,6.772799969
France,Western Europe,2019,23,6.663842933,10.58422279,0.937103748,0.825467646,0.583521128,-0.130641967,2.053198338,6.737450123,6.590149403,0.037576791,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,6.663799763
Mexico,Latin America and Caribbean,2019,24,6.464982905,9.797797203,0.838665426,0.858709276,0.806821585,-0.175266623,2.662540197,6.559319973,6.370680332,0.048122469,1.972316742,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,6.465000153
Taiwan Province of China,East Asia,2019,25,6.455427394,10.77568531,0.894309103,0.77153033,0.73188293,-0.073198698,2.160238743,6.532113552,6.378686428,0.039139576,1.972316742,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,6.45539999
Uruguay,Latin America and Caribbean,2019,26,6.440122693,9.948192596,0.92281127,0.892395437,0.635994136,-0.101103112,2.167276382,6.529121399,6.351078987,0.045419082,1.972316742,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,6.440100193
Saudi Arabia,Middle East and North Africa,2019,27,6.406456053,10.79781246,0.874067068,0.854191244,0.682619512,-0.168695062,2.203118801,6.517305851,6.295693874,0.056533612,1.972316742,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,6.406499863
Spain,Western Europe,2019,28,6.400935045,10.46292686,0.921125412,0.751989543,0.765859902,-0.050961714,1.997088432,6.483808517,6.317991257,0.04230037,1.972316742,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,6.400899887
Guatemala,Latin America and Caribbean,2019,29,6.39887713,8.924805641,0.816621482,0.908147573,0.783237457,-0.042938665,2.882723093,6.5133605,6.284439564,0.058398303,1.972316742,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,6.398900032
Italy,Western Europe,2019,30,6.387420379,10.48183632,0.889878571,0.66465199,0.873404682,-0.043460999,2.249505997,6.47224474,6.302555561,0.043288074,1.972316742,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,6.38740015
Singapore,Southeast Asia,2019,31,6.377133413,11.39552116,0.910268962,0.926645339,0.109784193,0.029879224,0.937031746,6.442287445,6.311912537,0.033258967,1.972316742,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,6.377099991
Brazil,Latin America and Caribbean,2019,32,6.375609287,9.56643486,0.896723807,0.799804807,0.770601273,-0.101812392,2.571860313,6.455549717,6.295650005,0.040790688,1.972316742,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,6.375599861
Slovenia,Central and Eastern Europe,2019,33,6.363382719,10.39232254,0.939575672,0.936142623,0.817071021,-0.080603383,1.888586521,6.449328899,6.277471066,0.043841314,1.972316742,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,6.363399982
El Salvador,Latin America and Caribbean,2019,34,6.348270327,8.909075737,0.806092262,0.833805263,0.754319906,-0.121072978,2.937191725,6.462466717,6.234133244,0.058248438,1.972316742,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,6.34829998
Kosovo,Central and Eastern Europe,2019,35,6.325182354,9.204429626,0.820726514,0.861535907,0.922328293,0.190933764,2.736902714,6.427544117,6.222856045,0.052216277,1.972316742,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,6.325200081
Panama,Latin America and Caribbean,2019,36,6.304827407,10.03423405,0.902094483,0.880366504,0.851588905,-0.153927714,2.221176147,6.421860695,6.187739372,0.059724931,1.972316742,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,6.304800034
Slovakia,Central and Eastern Europe,2019,37,6.280619923,10.34774971,0.922493756,0.749952674,0.918096125,-0.124409303,2.256422043,6.35683918,6.204360962,0.03889757,1.972316742,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,6.280600071
Uzbekistan,Commonwealth of Independent States,2019,38,6.257564933,8.740371704,0.926595807,0.974998116,0.501497388,0.248427153,2.073346615,6.36388588,6.151313782,0.05422755,1.972316742,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,6.257599831
Chile,Latin America and Caribbean,2019,39,6.228463657,10.0320549,0.879713595,0.744896293,0.838239431,-0.065668367,2.283012867,6.318118572,6.138881207,0.045723889,1.972316742,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,6.228499889
Bahrain,Middle East and North Africa,2019,40,6.227320566,10.67638016,0.876342118,0.905855775,0.7393471,0.13372919,1.751917362,6.387789249,6.066811085,0.081882261,1.972316742,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,6.227300167
Lithuania,Central and Eastern Europe,2019,41,6.215494741,10.34362602,0.926107109,0.747381449,0.809583843,-0.219725296,2.238146067,6.302118301,6.128881454,0.044193108,1.972316742,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,6.215499878
Trinidad and Tobago,Latin America and Caribbean,2019,42,6.191859843,10.26000214,0.91529417,0.857907116,0.912230611,0.000526841,2.190695763,6.416218758,5.967580795,0.114448458,1.972316742,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,6.191899776
Poland,Central and Eastern Europe,2019,43,6.186284401,10.26512432,0.874257445,0.862055779,0.686927021,-0.205084071,2.056797981,6.255880356,6.116719246,0.035500165,1.972316742,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,6.186299801
Colombia,Latin America and Caribbean,2019,44,6.163443931,9.500369072,0.884440243,0.836179912,0.86457181,-0.161235645,2.421656609,6.274102688,6.052697659,0.056480873,1.972316742,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,6.163400173
Cyprus,Western Europe,2019,45,6.158954938,10.40570259,0.805996239,0.779858291,0.856271744,0.043731496,2.032334805,6.258187771,6.059812069,0.050605938,1.972316742,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,6.15899992
Nicaragua,Latin America and Caribbean,2019,46,6.137093619,8.493160248,0.857497036,0.863902867,0.665950119,0.020959141,2.496081114,6.262318611,6.011881828,0.063886963,1.972316742,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,6.13710022
Romania,Central and Eastern Europe,2019,47,6.123747862,10.107584,0.825161517,0.842823207,0.934300244,-0.19781521,2.412749767,6.216668129,6.030732155,0.047432564,1.972316742,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,6.123700142
Kuwait,Middle East and North Africa,2019,48,6.102077856,11.08982468,0.846475244,0.872366488,0.760849059,-0.100184701,1.840167999,6.206563473,5.997636318,0.053297732,1.972316742,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,6.102099895
Mauritius,Sub-Saharan Africa,2019,49,6.101261654,9.956786156,0.910357833,0.889534533,0.805343091,-0.018318573,2.006720543,6.213463783,5.989135742,0.057226494,1.972316742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,6.101299763
Kazakhstan,Commonwealth of Independent States,2019,50,6.057863124,10.11465836,0.934744895,0.811601937,0.764490843,-0.068488635,2.021602631,6.1426301,5.973169804,0.043229785,1.972316742,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,6.057899952
Estonia,Central and Eastern Europe,2019,51,6.021785244,10.34001732,0.934729993,0.87770915,0.623073816,-0.111697771,1.629928112,6.092330933,5.95126915,0.035985194,1.972316742,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,6.021800041
Philippines,Southeast Asia,2019,52,6.005994857,8.993545532,0.846730053,0.915463448,0.733634114,-0.105463006,2.501741886,6.103722572,5.908277512,0.049858402,1.972316742,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,6.006000042
Hungary,Central and Eastern Europe,2019,53,6.000397318,10.24924374,0.921934128,0.718964577,0.892916501,-0.194323018,2.121845722,6.077767372,5.923032761,0.039473221,1.972316742,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,6.000400066
Thailand,Southeast Asia,2019,54,5.998785447,9.741791725,0.889973223,0.905063033,0.886272311,0.268685192,1.832384109,6.082288742,5.91531086,0.042596295,1.972316742,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,5.998799801
Argentina,Latin America and Caribbean,2019,55,5.974679902,9.810955048,0.900567949,0.831132412,0.842009842,-0.194913864,2.072540998,6.079445839,5.869954109,0.053441759,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,5.974699974
Honduras,Latin America and Caribbean,2019,56,5.953196436,8.424534798,0.821870148,0.870603263,0.801131904,0.086969115,2.464295387,6.082033634,5.824366093,0.065731592,1.972316742,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,5.953199863
Latvia,Central and Eastern Europe,2019,57,5.949977993,10.17531967,0.918288589,0.671237648,0.795580089,-0.186888844,2.121283054,6.018282413,5.881717205,0.034838136,1.972316742,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,5.949999809
Ecuador,Latin America and Caribbean,2019,58,5.925177202,9.246058464,0.836418986,0.859828949,0.801215112,-0.127014965,2.254933834,6.028846264,5.821553707,0.052880634,1.972316742,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,5.925199986
Portugal,Western Europe,2019,59,5.910870771,10.26374245,0.886590719,0.888747811,0.892629504,-0.220714301,1.752558708,6.015089989,5.806710243,0.053158198,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,5.910900116
Jamaica,Latin America and Caribbean,2019,60,5.889759095,9.006250381,0.915701866,0.858068526,0.888890028,-0.125106767,2.214436531,6.126157284,5.65344286,0.120590433,1.972316742,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,5.889800072
South Korea,East Asia,2019,61,5.872417361,10.51056671,0.799387157,0.612965107,0.789067447,-0.043404032,1.946757078,5.958806515,5.785993099,0.044085015,1.972316742,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,5.872399807
Japan,East Asia,2019,62,5.870761768,10.57968903,0.883545935,0.809961379,0.654558063,-0.246910349,1.486200333,5.951927662,5.789672375,0.041391667,1.972316742,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,5.870800018
Peru,Latin America and Caribbean,2019,63,5.796753408,9.456313133,0.831075251,0.824766099,0.893714964,-0.16238822,2.213499546,5.916970253,5.67663002,0.061311204,1.972316742,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,5.796800137
Serbia,Central and Eastern Europe,2019,64,5.778232641,9.680980682,0.881475747,0.726495862,0.843509018,-0.073676221,2.029040098,5.877596378,5.678803921,0.050712325,1.972316742,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,5.77820015
Bolivia,Latin America and Caribbean,2019,65,5.747483365,8.851115227,0.803108692,0.875873327,0.822606206,-0.09168113,2.425928593,5.846765041,5.648234844,0.050645422,1.972316742,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,5.747499943
Pakistan,South Asia,2019,66,5.693307951,8.482727051,0.689062297,0.734833717,0.745705426,0.04489987,2.976876736,5.78780365,5.598795891,0.048216224,1.972316742,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,5.69329977
Paraguay,Latin America and Caribbean,2019,67,5.692069991,9.389982224,0.898727894,0.885923445,0.834788501,0.007997713,1.83412528,5.793937683,5.590262413,0.051957864,1.972316742,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,5.692100048
Dominican Republic,Latin America and Caribbean,2019,68,5.689245664,9.664880753,0.882085383,0.866202772,0.755999923,-0.131263286,1.844246864,5.826069355,5.552330494,0.069831297,1.972316742,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,5.689199924
Bosnia and Herzegovina,Central and Eastern Europe,2019,69,5.674095695,9.455817223,0.829204142,0.651352704,0.933769107,0.098274559,2.16724205,5.765016556,5.583183289,0.046385963,1.972316742,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,5.674099922
Moldova,Commonwealth of Independent States,2019,70,5.607496205,8.776714325,0.843313575,0.721609175,0.913314283,-0.037741039,2.370968342,5.690360069,5.524640083,0.042275578,1.972316742,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,5.607500076
Tajikistan,Commonwealth of Independent States,2019,71,5.555693686,8.024810791,0.835297108,0.831383407,0.592076063,-0.025088511,2.25650835,5.619050026,5.492349625,0.032321576,1.972316742,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,5.555699825
