Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,Standard error of ladder score,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score
Switzerland,Western Europe,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,0.03411,,,,,,,,,,,,,
Iceland,Western Europe,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,0.04884,,,,,,,,,,,,,
Denmark,Western Europe,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,0.03328,,,,,,,,,,,,,
Norway,Western Europe,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,0.0388,,,,,,,,,,,,,
Canada,North America,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,0.03553,,,,,,,,,,,,,
Finland,Western Europe,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,0.0314,,,,,,,,,,,,,
Netherlands,Western Europe,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,0.02799,,,,,,,,,,,,,
Sweden,Western Europe,2015,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,0.03157,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,0.03371,,,,,,,,,,,,,
Australia,Australia and New Zealand,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,0.04083,,,,,,,,,,,,,
Israel,Middle East and Northern Africa,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,0.0347,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,0.04454,,,,,,,,,,,,,
Austria,Western Europe,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,0.03751,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,0.04176,,,,,,,,,,,,,
United States,North America,2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,0.03839,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,0.04076,,,,,,,,,,,,,
Luxembourg,Western Europe,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,0.03499,,,,,,,,,,,,,
Ireland,Western Europe,2015,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,0.03676,,,,,,,,,,,,,
Belgium,Western Europe,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,0.03595,,,,,,,,,,,,,
United Arab Emirates,Middle East and Northern Africa,2015,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,0.03729,,,,,,,,,,,,,
United Kingdom,Western Europe,2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,0.01866,,,,,,,,,,,,,
Oman,Middle East and Northern Africa,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,0.05335,,,,,,,,,,,,,
Venezuela,Latin America and Caribbean,2015,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,0.06476,,,,,,,,,,,,,
Singapore,Southeastern Asia,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,0.0378,,,,,,,,,,,,,
Panama,Latin America and Caribbean,2015,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,0.0491,,,,,,,,,,,,,
Germany,Western Europe,2015,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,0.01848,,,,,,,,,,,,,
Chile,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,0.058,,,,,,,,,,,,,
Qatar,Middle East and Northern Africa,2015,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,0.06257,,,,,,,,,,,,,
France,Western Europe,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,0.03512,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,0.04612,,,,,,,,,,,,,
Czech Republic,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,0.04168,,,,,,,,,,,,,
Uruguay,Latin America and Caribbean,2015,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,0.04539,,,,,,,,,,,,,
Colombia,Latin America and Caribbean,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,0.05051,,,,,,,,,,,,,
Thailand,Southeastern Asia,2015,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,0.03557,,,,,,,,,,,,,
Saudi Arabia,Middle East and Northern Africa,2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,0.04633,,,,,,,,,,,,,
Spain,Western Europe,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,0.03468,,,,,,,,,,,,,
Malta,Western Europe,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,0.04206,,,,,,,,,,,,,
Taiwan,Eastern Asia,2015,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,0.03868,,,,,,,,,,,,,
Kuwait,Middle East and Northern Africa,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,0.04456,,,,,,,,,,,,,
Suriname,Latin America and Caribbean,2015,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,0.09811,,,,,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,0.10895,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,0.05618,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,0.05224,,,,,,,,,,,,,
Uzbekistan,Central and Eastern Europe,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,0.04361,,,,,,,,,,,,,
Slovakia,Central and Eastern Europe,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,0.04267,,,,,,,,,,,,,
Japan,Eastern Asia,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,0.03581,,,,,,,,,,,,,
South Korea,Eastern Asia,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,0.04098,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,0.04528,,,,,,,,,,,,,
Bahrain,Middle East and Northern Africa,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,0.05412,,,,,,,,,,,,,
Italy,Western Europe,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,0.03914,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,0.05642,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,0.03799,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,0.04563,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,0.04114,,,,,,,,,,,,,
Slovenia,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,0.04251,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,0.03843,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,0.05371,,,,,,,,,,,,,
Peru,Latin America and Caribbean,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,0.04615,,,,,,,,,,,,,
Belarus,Central and Eastern Europe,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,0.03938,,,,,,,,,,,,,
Poland,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,0.04263,,,,,,,,,,,,,
Malaysia,Southeastern Asia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,0.0433,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,0.04394,,,,,,,,,,,,,
Libya,Middle East and Northern Africa,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,0.07832,,,,,,,,,,,,,
Russia,Central and Eastern Europe,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,0.03135,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,0.13693,,,,,,,,,,,,,
North Cyprus,Western Europe,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,0.05635,,,,,,,,,,,,,
Cyprus,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,0.0558,,,,,,,,,,,,,
Algeria,Middle East and Northern Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,0.05099,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,0.05018,,,,,,,,,,,,,
Turkmenistan,Central and Eastern Europe,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,0.04175,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,0.07197,,,,,,,,,,,,,
Hong Kong,Eastern Asia,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,0.05051,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,0.04013,,,,,,,,,,,,,
Indonesia,Southeastern Asia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,0.02596,,,,,,,,,,,,,
Vietnam,Southeastern Asia,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,0.03107,,,,,,,,,,,,,
Turkey,Middle East and Northern Africa,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,0.03864,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,0.03823,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,0.04192,,,,,,,,,,,,,
Bhutan,Southern Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,0.03225,,,,,,,,,,,,,
Azerbaijan,Central and Eastern Europe,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,0.03363,,,,,,,,,,,,,
Pakistan,Southern Asia,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,0.03726,,,,,,,,,,,,,
Jordan,Middle East and Northern Africa,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,0.04524,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,0.05235,,,,,,,,,,,,,
China,Eastern Asia,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,0.02424,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,0.06988,,,,,,,,,,,,,
Romania,Central and Eastern Europe,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,0.06607,,,,,,,,,,,,,
